org_ein,state,state_name,name,address,city,fips,ruledate,nteecc,region,division
363774128,IL,Illinois,FELLOWSHIP HOUSING CORPORATION,2200 WEST HIGGINS RD,HOFFMAN ESTATES,17031,1993,L20,Midwest,East North Central
363779004,IL,Illinois,HUMBOLDT PARK ELDERLY HOUSING CORP,325 N WELLS 8TH FLOOR,CHICAGO,17031,1991,L80,Midwest,East North Central
363779568,NE,Nebraska,GERING ELDERLY HOUSING CORPORATION,1100 MILITARY RD,LINCOLN,31109,1991,L80,Midwest,West North Central
363788136,NE,Nebraska,GRAND ISLAND AREA HOUSING CORP,NA,GRAND ISLAND,31079,1992,L20,Midwest,West North Central
363802836,IL,Illinois,SETTLERS HOUSING SERVICE,4932 N FRANCISCO AVE,CHICAGO,6037,2015,L80,Midwest,East North Central
363807011,IL,Illinois,WEST HUMBOLDT PARK FAMILY AND COMMUNITY DEVELOPMENT COUNCIL,3620 W CHICAGO AVE,CHICAGO,17031,2019,S20,Midwest,East North Central
363827013,IL,Illinois,ARGYLE NEIGHBORHOOD DEVELOPMENT CORPORATION,208 SOUTH LASALLE STREET NO 1300,CHICAGO,17031,1993,L20,Midwest,East North Central
363833156,IL,Illinois,CHICAGO METROPOLITAN HOUSING DEVELOPMENT CORPORATION,225 W WACKER DR STE 1550,CHICAGO,17031,1997,L80,Midwest,East North Central
363839126,IL,Illinois,BURTON FOUNDATION,2090 LARKIN AVE STE 5A1,ELGIN,17089,1992,P20,Midwest,East North Central
363842309,IL,Illinois,COMPREHENSIVE COMMUNITY SOLUTIONS INC,917 S MAIN ST,ROCKFORD,17201,1995,P30,Midwest,East North Central
363842392,IL,Illinois,MID-SOUTH PLANNING & DEVELOPMENT,4309 S KING DR,CHICAGO,17031,1994,S20,Midwest,East North Central
363843379,IL,Illinois,THE RENAISSANCE COLLABORATIVE INC,3757 S WABASH AVE,CHICAGO,17031,1995,S20,Midwest,East North Central
363856390,NE,Nebraska,SEWARD COUNTY HOUSING CORP,PO BOX 467,SEWARD,31159,1993,L20,Midwest,West North Central
363860188,IL,Illinois,BREAKING GROUND INC,3501 W FILLMORE ST,CHICAGO,17031,1994,L80,Midwest,East North Central
363869736,IL,Illinois,INTERFAITH HOUSING DEVELOPMENT CORPORATION OF CHICAGO,411 S WELLS ST STE 401,CHICAGO,17031,1997,L20,Midwest,East North Central
363873457,IL,Illinois,AFFORDABLE HOUSING CORPORATION OF LAKE COUNTY,800 S MILWAUKEE AVE STE 201,LIBERTYVILLE,17097,1994,L50,Midwest,East North Central
363886767,NE,Nebraska,COMMUNITY DEVELOPMENT COALITION INC,PO BOX 486,SCOTTSBLUFF,31157,1993,S21,Midwest,West North Central
363890176,IL,Illinois,FULLER PARK COMMUNITY DEVELOPMENT CORPORATION,4417 S STEWART AVE,CHICAGO,17031,1995,S20,Midwest,East North Central
363908278,IL,Illinois,MARTIN LUTHER KING JR COMMUNITY SERVICES OF ILLINOIS,PO BOX 913,FREEPORT,17177,1994,P30,Midwest,East North Central
363915611,IL,Illinois,GREATER ROSELAND AREA COMMUNITY DEVELOPMENT CORPORATION,20 N WACKER DR STE 4114,CHICAGO,17031,1994,S20,Midwest,East North Central
363920058,IL,Illinois,CHICAGO MUTUAL HOUSING NETWORK,NA,CHICAGO,17031,1995,L80,Midwest,East North Central
363944647,IL,Illinois,DEBORAHS PLACE II,2822 W JACKSON BOULEVARD,CHICAGO,17031,1994,L41,Midwest,East North Central
363954996,IL,Illinois,FOREST PARK COMMUNITY CENTER,1017 WOODRUFF RD,JOLIET,17197,1994,P30,Midwest,East North Central
363958717,IL,Illinois,NEW DIRECTIONS HOUSING CORPORATION,2901 BUTTERFIELD RD,OAK BROOK,17043,1995,L50,Midwest,East North Central
363966538,SD,South Dakota,TETON COALITION INC,18 E NEW YORK ST,RAPID CITY,46103,1994,L015,Midwest,West North Central
363966573,IL,Illinois,ACCION CHICAGO INC,135 N KEDZIE AVE,CHICAGO,17031,1995,S43,Midwest,East North Central
363972943,IL,Illinois,PUI TAK CENTER,2216 S WENTWORTH AVE,CHICAGO,17031,1995,P84,Midwest,East North Central
363983577,SD,South Dakota,LEMMON AREA CHARITABLE AND ECONOMIC DEVELOPMENT CORPORATION,100 3RD ST W,LEMMON,46105,1995,S20,Midwest,West North Central
363990758,IL,Illinois,HOUSING CONTINUUM INC,100 S HAWTHORNE ST,ELGIN,17089,1997,L80,Midwest,East North Central
363993195,IL,Illinois,ELLIS NEIGHBORHOOD DEVELOPMENT CORPORATION,208 SOUTH LASALLE STREET NO 1300,CHICAGO,17031,1996,L20,Midwest,East North Central
363994092,IL,Illinois,REBA PLACE DEVELOPMENT CORPORATION,737 REBA PLACE ST BASEMENT,EVANSTON,17031,1996,L20,Midwest,East North Central
363997699,IL,Illinois,MT GREENWOOD COMMUNITY & BUSINESS ASSOCIATION,3400 W 111TH STREET RM/STE 496,CHICAGO,17031,1996,S20,Midwest,East North Central
364000780,IL,Illinois,HABITAT FOR HUMANITY INTERNATIONAL,PO BOX 1166,MCHENRY,17111,1987,L20,Midwest,East North Central
364024688,IL,Illinois,TARGET AREA DEVELOPMENT CORPORATION,1542 W 79TH ST,CHICAGO,17031,1996,S20,Midwest,East North Central
364027983,IL,Illinois,BETHLEHEM COMMUNITY DEVELOPMENT CORPORATION,20 E 147TH ST,HARVEY,17031,2018,S20,Midwest,East North Central
364028056,IL,Illinois,UPTOWN UNITED,4753 N BROADWAY ST STE 822,CHICAGO,17031,1995,S20,Midwest,East North Central
364030444,IL,Illinois,AFC COMMUNITY DEVELOPMENT CORPORATION,7859 S ASHLAND AVE,CHICAGO,17031,1996,S20,Midwest,East North Central
364034061,IL,Illinois,ROCKFORD NEW HOPE INCORPORATED,7733 MILL RD,ROCKFORD,17201,1996,L21,Midwest,East North Central
364041525,IL,Illinois,LA CASA NORTE,3533 W NORTH AVE,CHICAGO,17031,1997,L41,Midwest,East North Central
364054492,GA,Georgia,PRAYER AND CITY TRANSFORMATION CONSULTING,2427 BOB BETTIS RD,MARIETTA,13067,1996,S20,South,South Atlantic
364078159,IL,Illinois,THE REBIRTH OF ENGLEWOOD COMMUNITY DEVELOPMENT CORPORATION,1912 W 63RD ST,CHICAGO,17031,1996,S20,Midwest,East North Central
364090773,IL,Illinois,SOUTHWEST ORGANIZING PROJECT,2558 W 63RD ST,CHICAGO,17031,1996,S20,Midwest,East North Central
364113691,IL,Illinois,HUMBOLDT PARK ECONOMIC DEVELOPMENT CORPORATION,NA,CHICAGO,17031,1997,S30,Midwest,East North Central
364143938,IL,Illinois,NW HOMESTART INC,307 W MAIN ST,FREEPORT,17177,1997,L82,Midwest,East North Central
364150441,IL,Illinois,GENESIS HOUSING DEVELOPMENT CORPORATION,7735 S VERNON AVE,CHICAGO,17031,1997,L21,Midwest,East North Central
364176510,IL,Illinois,ROGERS PARK COMMUNITY DEVELOPMENT CORPORATION,1530 W MORSE AVE,CHICAGO,17031,2000,S20,Midwest,East North Central
364210191,IL,Illinois,DELTA INSTITUTE,35 E WACKER DR STE 1200,CHICAGO,17031,1998,S30,Midwest,East North Central
364223536,IL,Illinois,AILBE ASSISTED HOUSING CORPORATION,721 N LA SALLE ST 5TH FLOOR,CHICAGO,17031,1946,L50,Midwest,East North Central
364229387,IL,Illinois,BRIGHTON PARK NEIGHBORHOOD COUNCIL,4477 S ARCHER AVE,CHICAGO,17031,1998,S30,Midwest,East North Central
364259274,IL,Illinois,HOME OF LIFE COMMUNITY DEVELOPMENT CORP,4650 W MADISON ST,CHICAGO,17031,1993,S20,Midwest,East North Central
364318542,IL,Illinois,LATINO ECONOMIC DEVELOPMENT ASSISTANCE CORP,325 N WELLS8TH FLOOR,CHICAGO,17031,1999,S30,Midwest,East North Central
364322147,IL,Illinois,ST BERNARD HOUSING DEVELOPMENT CORPORATION,326 W 64TH ST,CHICAGO,17031,1946,L21,Midwest,East North Central
364342205,FL,Florida,CAMACOL LOAN FUND INC,1401 WEST FLAGLER STREET,MIAMI,12086,2003,S41,South,South Atlantic
364350755,IL,Illinois,PROGRESSIVE COMMUNITY DEVELOPMENT INC,3658 S WENTWORTH AVE,CHICAGO,17031,2003,S20,Midwest,East North Central
364357531,IL,Illinois,CONNECTIONS FOR COMMUNITY OWNERSHIP,2125 W NORTH AVE,CHICAGO,17031,2000,S31,Midwest,East North Central
364377387,IL,Illinois,GREATER AUBURN GRESHAM DEVELOPMENT CORPORATION,7901 S RACINE AVE,CHICAGO,17031,2001,S20,Midwest,East North Central
364409705,IL,Illinois,HISTORIC CHICAGO BUNGALOW ASSOCIATION,53 W JACKSON BLVD STE 740,CHICAGO,17031,2001,L81,Midwest,East North Central
364445499,MS,Mississippi,KINGDOM COMMUNITY DEVELOPMENT CORPORATION,2639 DRY GROVE RD,CRYSTAL SPGS,28029,2015,S20,South,East South Central
364453016,WA,Washington,UNIONTOWN COMMUNITY DEVELOPMENT ASSOCIATION,PO BOX 151,UNIONTOWN,53075,2002,S20,West,Pacific
364484624,IL,Illinois,COVENANT HOUSING CORPORATION,5700 OLD ORCHARD RD,SKOKIE,17031,1975,L50,Midwest,East North Central
364500925,OH,Ohio,HOMEOWNERSHIP CENTER OF GREATER DAYTON INC,130 W 2ND ST STE 1420,DAYTON,39113,2003,P51,Midwest,East North Central
364591874,MA,Massachusetts,NORTH END HOUSING INITIATIVE INC,2455 MAIN ST,SPRINGFIELD,25013,2007,L20,Northeast,New England
364593086,MO,Missouri,UJAMAA COMMUNITY DEVELOPMENT CORPORATION AND BLACK FAMILY LAND,5076 W FLORISSANT AVE,SAINT LOUIS,29510,2008,S20,Midwest,West North Central
364598309,MI,Michigan,VILLAGES COMMUNITY DEVELOPMENT CORPORATION,7900 MACK AVE,DETROIT,26163,2007,S20,Midwest,East North Central
364616294,MI,Michigan,LAKE SUPERIOR COMMUNITY DEVELOPMENT CORP,1 N FRONT ST,LANSE,26013,2008,S20,Midwest,East North Central
364636828,NJ,New Jersey,INTERSECT FUND CORPORATION,59 LINCOLN PARK,NEWARK,34023,2009,S43,Northeast,Middle Atlantic
364646012,FL,Florida,COMMUNITY HOMEOWNERSHIP CENTER INC,1284 W 20TH ST,JACKSONVILLE,12031,2010,L033,South,South Atlantic
364655203,CA,California,ABBEY ROAD INC,15305 RAYEN ST,NORTH HILLS,6037,2010,P11,West,Pacific
364776666,MI,Michigan,EVERGREEN COMMUNITY DEVELOPMENT INITIATIVE,4121 M L KING AVE,FLINT,26049,2014,S20,Midwest,East North Central
366109056,IL,Illinois,CHICAGO DWELLINGS ASSOCIATION,PO BOX 605,WESTMONT,17043,1957,L20,Midwest,East North Central
366211099,IL,Illinois,VOICE OF THE PEOPLE IN UPTOWN INC,4861 N KENMORE,CHICAGO,17031,2014,L80,Midwest,East North Central
370662522,IL,Illinois,LESSIE BATES DAVIS NEIGHBORHOOD HOUSE INC,1200 N 13TH ST,E SAINT LOUIS,17163,1984,P28,Midwest,East North Central
370673453,IL,Illinois,BABY FOLD,108 E WILLOW ST,NORMAL,17113,1955,P33,Midwest,East North Central
370681511,IL,Illinois,CARVER COMMUNITY ACTION AGENCY OF KNOX COUNTY,311 E MAIN ST PO BOX 28 FLOOR 7,GALESBURG,17095,1953,P20,Midwest,East North Central
